"Mediatek Helio P90","20.3"
"HiSilicon Kirin 970","21.3"
"HiSilicon Kirin 960","15.1"
"HiSilicon Kirin 960s","22.4"
"Apple A9X","32"
"Qualcomm Snapdragon 678","26.5"
"Qualcomm Snapdragon 675","21.5"
"Samsung Exynos 8895 Octa","26.4"
"Qualcomm Snapdragon 685 4G","14.1"
"Qualcomm Snapdragon 680 4G","13"
"Samsung Exynos W1000","36.7"
"Qualcomm Snapdragon 835 (8998)","32.4"
"UNISOC T750","16.3"
"UNISOC Tangula T740","15.5"
"Qualcomm Snapdragon 712","20.3"
"Apple A10 Fusion","22"
"Samsung Exynos 8890 Octa","33.9"
"Samsung Exynos 9611","14"
"Samsung Exynos 9610","13.9"
"HiSilicon Kirin 955","21.9"
"HiSilicon Kirin 950","34.7"
"Samsung Exynos 9609","23.6"
"Mediatek Helio P70","16.4"
"Mediatek Helio P65","15.6"
"MediaTek Helio X27 MT6797X","14.5"
"Qualcomm Snapdragon 710","25.6"
"Qualcomm Snapdragon 670","17.9"
"Qualcomm Snapdragon 665","17.1"
"Qualcomm Snapdragon 6s 4G Gen 1",""
"Qualcomm Snapdragon 662","9.7"
"Qualcomm Snapdragon 660","23.5"
"Qualcomm Snapdragon 821 MSM8996 Pro","13"
"Samsung Exynos 7885","17.5"
"UNISOC T7280 (T620)","15.3"
"UNISOC T619","15.2"
"UNISOC T618","13.8"
"Unisoc T7255 (T616)","12.6"
"Unisoc T7250 (T615)","13.6"
"Unisoc T7225 (T612)","10.7"
"UNISOC T610","10.2"
"Unisoc T7200 (T606)","10.6"
"UNISOC Tangula T700","9"
"Mediatek Helio G88","12.2"
"Mediatek Helio G85","14.3"
"Mediatek Helio G81 Ultra","10"
"Mediatek Helio G80","13.3"
"Mediatek Helio G70","14.7"
"HiSilicon Kirin 710","17.4"
"HiSilicon Kirin 710A","13.4"
"Mediatek Helio P60T","17.5"
"Mediatek Helio P60","15.4"
"Mediatek MT8788","9.8"
"Mediatek MT8183","14.3"
"Samsung Exynos 7420 Octa","44.3"
"Mediatek Helio X25 MTK6797T","12.5"
"Qualcomm Snapdragon 820 MSM8996","11.4"
"Nvidia Tegra X1","28.9"
"Apple A9","27"
"Qualcomm Snapdragon 810 MSM8994","24.2"
"Samsung Exynos 850","7.3"
"Qualcomm Snapdragon 652 MSM8976","16.2"
"Qualcomm Snapdragon 808 MSM8992","28.5"
"Qualcomm Snapdragon 650 MSM8956","10.3"
"Apple A8X","33.6"
"Nvidia Tegra K1 (Denver)","31.7"
"Mediatek Helio X20 MT6797","12.3"
"Mediatek MT8176","11.3"
"Mediatek Helio P25","13.4"
"Mediatek MT8173","9.9"
"MediaTek MT8169A","5.8"
"Mediatek Helio G37","6.5"
"Mediatek Helio G35","6.1"
"Mediatek Helio G36","6.2"
"Allwinner A523","7.1"
"Mediatek MT8173C","51.3"
"Mediatek MT6595 Turbo",""
"Mediatek MT8768","6.5"
"Samsung Exynos 5433 Octa","30.2"
"Apple A8","26.5"
"Mediatek Helio G25","7.6"
"Mediatek Helio A25","5.7"
"Nvidia Tegra K1","28.9"
"Qualcomm Snapdragon 805 APQ8084","27.6"
"Qualcomm Snapdragon 636","14.6"
"Samsung Exynos 7904","13"
"Qualcomm Snapdragon 632","9.8"
"Qualcomm Snapdragon 460","18.5"
"Intel Atom Z3735E",""
"Intel Atom Z3735F","44.7"
"Intel Atom Z3735G","54.7"
"Qualcomm Snapdragon 630","11.7"
"Qualcomm Snapdragon 626","13"
"Qualcomm Snapdragon 801 MSM8974AC","25.6"
"Samsung Exynos 5430 Octa","30.3"
"UNISOC SC9863A","9.1"
"Mediatek Helio P23 MT6763T","10.1"
"Mediatek Helio P23 MT6763V","9.2"
"Mediatek MT6595",""
"Qualcomm Snapdragon 801 APQ8074AB","35.7"
